system:index,B11,B2,B3,B4,B8,NDBI,NDVI,NDWI,label,.geo
411021107,3509.26298487836,1553.79947403024,1858.80867850098,1932.99474030243,4002.03287310979,-0.0653368799796681,0.352567398550545,-0.366830349696359,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1233000.0,6332100.0],[1233300.0,6332100.0],[1233300.0,6332400.0],[1233000.0,6332400.0],[1233000.0,6332100.0]]]}"
410321108,2523.35347432024,1302.67170191339,1448.84441087613,1406.13595166163,2914.20996978852,-0.067924853481125,0.345106298760775,-0.331409029314535,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1230900.0,6332400.0],[1231200.0,6332400.0],[1231200.0,6332700.0],[1230900.0,6332700.0],[1230900.0,6332400.0]]]}"
410421108,2567.3487573802,1348.20266373747,1517.50336399835,1495.14348482768,2880.07057531237,-0.0497886421566334,0.311349079625449,-0.301715588789587,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1231200.0,6332400.0],[1231500.0,6332400.0],[1231500.0,6332700.0],[1231200.0,6332700.0],[1231200.0,6332400.0]]]}"
410521108,3101.44047109207,1433.10299785867,1666.71575405322,1681.11609054756,4031.38265524625,-0.129582074148605,0.407687056360807,-0.40976101715171,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1231500.0,6332400.0],[1231800.0,6332400.0],[1231800.0,6332700.0],[1231500.0,6332700.0],[1231500.0,6332400.0]]]}"
410621108,2917.17812962552,1382.42077732457,1629.32298552646,1553.29138620425,3947.50132947549,-0.151929544186811,0.433071329623304,-0.412827672291453,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1231800.0,6332400.0],[1232100.0,6332400.0],[1232100.0,6332700.0],[1231800.0,6332700.0],[1231800.0,6332400.0]]]}"
410721108,2833.72288657035,1497.99953852327,1673.44900347779,1696.80882156232,3195.47990235419,-0.0559478068792479,0.298569015938523,-0.302732851413381,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232100.0,6332400.0],[1232400.0,6332400.0],[1232400.0,6332700.0],[1232100.0,6332700.0],[1232100.0,6332400.0]]]}"
410821108,3341.56406749719,1655.61734014288,1918.65936562884,2061.20065388806,3524.95051677101,-0.0302417108779818,0.267973171571238,-0.294625906453693,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232400.0,6332400.0],[1232700.0,6332400.0],[1232700.0,6332700.0],[1232400.0,6332700.0],[1232400.0,6332400.0]]]}"
410921108,2576.22852477752,1390.27582659808,1565.52683484365,1567.00249816311,3429.72642664706,-0.148157498013897,0.383096248132428,-0.378062908785898,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232700.0,6332400.0],[1233000.0,6332400.0],[1233000.0,6332700.0],[1232700.0,6332700.0],[1232700.0,6332400.0]]]}"
411021108,2523.72520035929,1314.78936765821,1485.35438523053,1435.66935265852,3497.52929736895,-0.163014833539248,0.417778534032155,-0.402396047848818,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1233000.0,6332400.0],[1233300.0,6332400.0],[1233300.0,6332700.0],[1233000.0,6332700.0],[1233000.0,6332400.0]]]}"
411121108,2659.60190598492,1527.44219526207,1742.12716704403,1774.05677401912,2896.0628907438,-0.0231947902244255,0.210597137110916,-0.211311512841067,2,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1233300.0,6332400.0],[1233600.0,6332400.0],[1233600.0,6332700.0],[1233300.0,6332700.0],[1233300.0,6332400.0]]]}"
