B11,B2,B3,B4,B8,NDBI,NDVI,NDWI,label,year,SAVI,BSI,UI,predicted_label
2734.41790430739,1284.60752046735,1520.02172213765,1363.94878018677,3952.83033693997,-0.165964021840073,0.463332058794096,-0.420993701210196,0,2024,0.7303213259243391,-0.12201103480698605,-0.1821993723991487,1
2535.36850443599,1242.84965145754,1457.91318124207,1301.10440430925,3786.06685678073,-0.193647773960351,0.480861597954424,-0.437000176262343,0,2024,0.7326423991295095,-0.13450549585657845,-0.19785037430233438,1
3256.3613146971,1351.34688351277,1664.34518095732,1397.60085614217,4861.11914645219,-0.191348399185305,0.542250829329582,-0.479497259336284,0,2024,0.8300199439086114,-0.1434237479257761,-0.19769161618996797,3
2724.08872239747,1280.60459384858,1470.56994282334,1367.67021556256,3787.89550473186,-0.160281486218677,0.465624201240027,-0.435846199516538,0,2024,0.7040907022315168,-0.10662811572513049,-0.1633613880547353,1
2776.43896614693,1303.30046354825,1522.97597977243,1445.89450765556,3731.1085826661,-0.146118586335545,0.440878488838348,-0.41930394684802,0,2024,0.6620606598812965,-0.08772800698040625,-0.14670190411337078,1
3295.5769267684,1364.82023226797,1673.6594682791,1520.98430751511,4297.96943084748,-0.134051795398722,0.475464687656862,-0.437084915599241,0,2024,0.7157849984336482,-0.08075198904180018,-0.13200584507839863,3
3008.99254231606,1316.37740908328,1605.34003686944,1426.48198424668,3986.27844813138,-0.140455329100447,0.470887466025406,-0.423246642321577,0,2024,0.709312759619116,-0.08905008420266632,-0.13970665427399118,3
3192.79186953179,1334.10544715744,1638.76714134055,1383.03338580371,4661.49643079401,-0.179424130169106,0.529378911802508,-0.467958440072998,0,2024,0.8135103906324881,-0.13430321230190442,-0.1869939713317243,3
3008.06295903687,1285.71136518512,1529.95256303475,1341.24074354508,4569.24028924055,-0.202940512182041,0.541850081901626,-0.494618687254101,0,2024,0.8191532491284863,-0.14755098722708246,-0.20603337085111237,3
2885.53642384106,1249.70671712393,1501.62440870387,1337.52885525071,3886.42573320719,-0.147508038569217,0.487888414184815,-0.442499420685852,0,2024,0.7318171212324108,-0.09755827343714558,-0.1477990110036876,3
3589.77403163178,1407.42030495312,1729.54725826309,1621.07022445307,4160.835614168,-0.0725997986533172,0.434279453236497,-0.407164991744166,0,2024,0.6588344351632158,-0.03315783852332926,-0.07367956956078806,3
3749.61254512635,1407.25018050541,1756.65171480144,1597.8976534296,4492.83456678699,-0.0907321541508171,0.475266334951352,-0.437695890384887,0,2024,0.7128944051129411,-0.049128240428004795,-0.09017006861790026,3
3287.79449458483,1354.81173285198,1611.92788808664,1488.07933212996,4369.38167870035,-0.13814194178548,0.482312585323721,-0.451327543972871,0,2024,0.7377914451572953,-0.09031557258809,-0.14125144304358922,3
2998.02589090908,1291.82847272727,1517.512,1385.41592727272,4139.37218181818,-0.155496837768874,0.488257886848481,-0.453198776156681,0,2024,0.7476414442572608,-0.10675466164714036,-0.1599106956455607,3
3369.51383291415,1356.14135935274,1648.05978606708,1484.08354292294,4709.38792763856,-0.164993022580002,0.518933140904836,-0.479819150711,0,2024,0.7810750501624213,-0.11099165240750872,-0.16584854407645916,3
