B11,B2,B3,B4,B8,NDBI,NDVI,NDWI,label,year,SAVI,BSI,UI,predicted_label
2993.01037632181,1316.0723820504,1589.36142386193,1377.91801624903,4389.41690836051,-0.177349649129193,0.502852688646581,-0.450022667774418,0,2024,0.7831791993376128,-0.13244398354923648,-0.1891527648279153,3
2517.50616687507,1215.82494032056,1393.69790837785,1255.82960100034,3755.97570194384,-0.192724035295949,0.491800464995132,-0.452119129651931,0,2024,0.7482024586994744,-0.13704358836523045,-0.19741342383156243,3
3246.92750033925,1352.48581897136,1661.01784502646,1501.1165694124,4240.05750441036,-0.134820296988369,0.475703907915578,-0.435091712087055,0,2024,0.7155424271168344,-0.08166840253106485,-0.1326475214577144,3
3218.38599769005,1342.64420137237,1651.47691192789,1390.22768756935,4742.25905292479,-0.184413568917381,0.534304580304997,-0.472134211406288,0,2024,0.8198366082930821,-0.1380546341659397,-0.1914258261165713,3
2937.40033105108,1315.40749379279,1539.88195019185,1418.14758859378,4110.36690993905,-0.16130582512603,0.481122052232717,-0.448966012801247,0,2024,0.7303885679969748,-0.10941531714267419,-0.16643094738798184,3
3618.60028289359,1402.67059253699,1739.99103208051,1604.81833227488,4243.39176914342,-0.0776658976512953,0.445526811528022,-0.412497555280565,0,2024,0.6767065022325243,-0.03888352603147629,-0.07946986999153086,3
3461.28188929001,1386.11089049338,1665.78401524267,1562.67184115523,4358.15954673084,-0.115762890578416,0.466684991623084,-0.440912333888977,0,2024,0.7081568795392836,-0.06689280382383388,-0.11469843016015119,3
3166.36990567617,1349.61970195903,1614.83420215437,1490.69298431657,4428.57178099011,-0.162478420699999,0.489327180943486,-0.458102999890303,0,2024,0.7444245455219554,-0.10743663286861828,-0.16618980466036598,3
3576.29790363297,1462.6046317638,1794.2005048842,1680.31166721545,4418.03821753923,-0.103053250746249,0.447496647801774,-0.419787080149456,0,2024,0.6733384003680642,-0.05603116953024254,-0.10529208443925629,0
3132.00502470595,1524.1702693298,1764.91101677221,1710.71172663372,3430.14912659195,-0.0331298281842913,0.310909367669655,-0.296138039145069,0,2024,0.5016485272219693,-0.011391470124694426,-0.04543387659173343,1
3586.16717495987,1411.73340021402,1714.12461209203,1614.91258694489,4505.57163590155,-0.113855588779819,0.468332789625342,-0.44454892368946,0,2024,0.7083809426024996,-0.06441810453784043,-0.11362260725810587,3
3372.17506052852,1500.71929357624,1822.60873671377,1757.92145886635,4390.42068616171,-0.127988925970291,0.424271402404113,-0.403126943710844,0,2024,0.6421938875331171,-0.0690524570816497,-0.13117334186407217,0
3455.33571849482,1561.00749221314,1872.12134859836,1835.83647613435,4170.28537755703,-0.0920579546066162,0.390259042570015,-0.379057027214525,0,2024,0.5829688362989025,-0.039929423461047185,-0.09375625277688843,1
3156.65811965812,1373.18277449046,1684.45430637738,1508.1282051282,4915.39973701512,-0.214791660672056,0.526797335422031,-0.485925785666461,0,2024,0.7955923205597344,-0.14824628029863468,-0.2178802046002474,3
2405.41591137965,1235.25679758308,1403.66465256797,1280.59718026183,2932.95065458207,-0.0903780132013975,0.382603001484058,-0.343158757279524,0,2024,0.5881590120991522,-0.06139302529566729,-0.09881950530824654,3
2441.49375257448,1267.89880543731,1434.46107373335,1319.27639708911,3032.64547576548,-0.098230974901848,0.383086955597901,-0.346979198049616,0,2024,0.5904881679884016,-0.06695857557328759,-0.1079898954945411,0
3082.13985928418,1323.32095442031,1599.0897216274,1446.25720403793,4215.09278066686,-0.155807128328036,0.484633201165233,-0.445355980894277,0,2024,0.7335505843784638,-0.10033134544702658,-0.15525788710366248,3
3071.353017608,1319.32826324284,1558.22144976457,1448.93057927625,3923.10036368019,-0.13105703402027,0.459520636901137,-0.429792929390619,0,2024,0.6907833041839402,-0.07396971389546471,-0.1217746834013956,0
2694.12072632423,1407.43680444087,1589.42987560192,1525.18426966291,3431.82758828249,-0.112963634804343,0.370900154441303,-0.352406238734178,0,2024,0.576895236941432,-0.06843899628443116,-0.12042329188433909,0
2955.17365785555,1421.78467280665,1664.835851301,1592.95603706789,3703.89480094877,-0.111051940331294,0.393573118695253,-0.373231220812099,0,2024,0.5977342718359258,-0.059702415952335254,-0.11243631864203084,0
2396.1294962854,1308.69372193648,1473.59206465833,1386.69932239366,3578.91413176585,-0.202948644184196,0.447256457322053,-0.419472788898248,0,2024,0.6621520519842446,-0.12741907665878097,-0.19795414211330425,0
2357.93158569447,1235.27031717377,1409.64642579947,1267.05058908685,3709.41082594249,-0.221351046231643,0.485792758345484,-0.444608384274652,0,2024,0.7360998106636645,-0.15399659465953275,-0.22274649237793603,0
2619.16461086141,1420.45713223615,1642.96765908553,1558.34922780575,2954.52603832246,-0.0397273973332608,0.272659113131458,-0.244108440621748,2,2024,0.4640130927051467,-0.02308908517342198,-0.06016864741321003,3
2463.39624691358,1275.56790123456,1430.22809876543,1398.4597037037,3242.91718518518,-0.141073300568825,0.400764146703887,-0.388116875953576,0,2024,0.5960274881147222,-0.07835351006605575,-0.1366067510218932,0
2717.22319485189,1308.58952398977,1532.0881044762,1396.04963565818,3668.35322229582,-0.135617536525461,0.42028262689604,-0.381667308399366,0,2024,0.67295572601235,-0.09501093879227532,-0.14894975258455648,0
3540.07916506875,1393.66066634839,1722.99312833115,1572.88693052414,4551.24800619859,-0.122740177190114,0.478587383787797,-0.442554301363366,0,2024,0.7294380252322826,-0.07523530464923477,-0.1249694666556736,3
2890.2244932235,1282.5509770417,1528.81144117303,1355.77248364294,4245.03169178642,-0.19507656864866,0.512435512004786,-0.467609758114672,0,2024,0.7737285240152152,-0.13112756414956342,-0.1898750603249765,3
2451.31235222519,1242.89607146354,1419.48350518348,1276.12823006002,3796.30707080599,-0.214064260834988,0.490277468462795,-0.449805933417785,0,2024,0.7451836140061984,-0.14963110184461667,-0.2152811539100191,0
2296.97786693413,1230.91210297559,1392.19297893681,1247.85422935473,3695.60575058509,-0.231722099372602,0.489476632106039,-0.447417683447442,0,2024,0.7426490701266218,-0.16310101287886947,-0.2333931360694066,0
2225.80715479772,1200.60377800066,1344.97763289869,1212.1408224674,3537.41280508191,-0.226620868644544,0.486875025805442,-0.446467194864821,0,2024,0.7342881254419178,-0.15901103731816604,-0.22758209115995354,0
2350.18455366098,1316.83821464393,1461.20113674356,1367.46546305583,3351.38655967903,-0.167735494808689,0.411012537343477,-0.383030503972449,0,2024,0.6305699660883275,-0.11335427505092621,-0.17560107312798925,0
2430.29070544968,1349.86205282514,1513.46997659645,1418.165630224,3421.81166833834,-0.165031133437349,0.40478041124235,-0.376714408772026,0,2024,0.6209034505882628,-0.10710016895366205,-0.16942987315631258,0
3243.6469742561,1359.27515880976,1658.53667669675,1490.45884319625,4221.64005349381,-0.131372363376553,0.476763450335011,-0.434578894726745,0,2024,0.7171467644647784,-0.08209478123296256,-0.13100542224328707,3
2866.84169174189,1498.9521564694,1726.36746907388,1749.31099966566,2940.48863256435,0.0008520029216295,0.222667501639359,-0.221700633206562,0,2024,0.3809493186895854,0.0195141160825594,-0.012681720637487296,1
2493.3777890227,1288.17060351516,1460.28992342205,1401.7485072361,3431.07699625544,-0.161745658128225,0.420627318553533,-0.400432441611625,0,2024,0.629792620283915,-0.09566816038617272,-0.15827603403487145,0
2527.15332986103,1225.46072350197,1386.22626009138,1243.32467624707,4039.1498733398,-0.228599065809471,0.526283011423915,-0.485940745466736,0,2024,0.7938213134051622,-0.1653699987231835,-0.2302660259035445,3
3490.46572934973,1536.43233743409,1836.3216168717,1907.71001757469,3372.63971880492,0.0176035497160027,0.276858574561687,-0.294258176014195,0,2024,0.4161062445514331,0.047452404368826584,0.017168031503361332,1
3427.62559017112,1418.7708293111,1757.81846423869,1632.82801228608,4911.50867924527,-0.177380597154887,0.499288164484736,-0.470852586392714,0,2024,0.751435250753075,-0.11147885686755228,-0.17794210299698157,3
